Programação orientada a Objetos II
2.25;0.25;0.50;0.50;0.25;0.50;2.50;1.00;ftcd
1.50;0.25;0.50;0.25;0.25;0.50;1.75;0.50;gdss
2.25;0.25;0.50;0.50;0.25;0.50;2.50;0.50;gpdc
1.50;0.25;0.50;0.50;0.25;0.00;1.50;0.50;jglds
2.25;0.25;0.50;0.25;0.25;0.50;2.25;0.50;jcdsf
0.00;0.25;0.50;0.00;0.25;0.25;0.50;0.00;ldmb
0.00;0.25;0.50;0.50;0.25;0.25;2.25;1.00;lbf
2.25;0.25;0.50;0.50;0.25;0.50;3.50;1.00;lws
2.25;0.25;0.25;0.00;0.25;0.00;0.00;0.00;mpds
1.00;0.25;0.25;0.50;0.25;0.50;1.50;0.50;pgf
2.25;0.25;0.50;0.25;0.25;0.25;1.50;0.50;phads
0.00;0.25;0.50;0.50;0.25;0.50;3.50;1.00;rdss
2.25;0.25;0.50;0.50;0.25;0.50;3.00;1.00;rsdj
0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;rpc
2.25;0.25;0.50;0.50;0.25;0.50;3.50;1.00;tvs
1.50;0.25;0.50;0.50;0.25;0.50;2.50;1.00;vqds
0.00;0.25;0.50;0.50;0.25;0.25;2.25;1.00;vdsp
